28.05.2015 08:12:52.15264 (0.5580855)Log "Roblox"
08:13:05.28264 (13.5327780)          		Data.DataCost: 4
08:13:05.28264 (13.5327780)          		Data.DataMtuAdjust: 0
08:13:05.28264 (13.5327780)          		Network.DataSendRate: 30
08:13:05.28264 (13.5327780)          		Physics.ExperimentalPhysicsEnabled: true
08:13:05.28264 (13.5327780)          		Diagnostics.IncommingReplicationLag: 0
08:13:05.28264 (13.5327780)          		Network.IsQueueErrorComputed: true
08:13:05.28264 (13.5327780)          		Network.IsThrottledByCongestionControl: false
08:13:05.28264 (13.5327780)          		Network.IsThrottledByOutgoingBandwidthLimit: false
08:13:05.28264 (13.5327780)          		Data.MaxDataModelSendBuffer: 1
08:13:05.28264 (13.5327780)          		Data.Name: Network
08:13:05.28264 (13.5327780)          		Network.NetworkOwnerRate: 10
08:13:05.28264 (13.5327780)          		Physics.PhysicsMtuAdjust: 0
08:13:05.28264 (13.5337782)          		Physics.PhysicsReceive: Interpolation
08:13:05.28264 (13.5337782)          		Physics.PhysicsSend: ErrorComputation
08:13:05.28264 (13.5337782)          		Network.PhysicsSendRate: 20
08:13:05.28264 (13.5337782)          		Network.PreferredClientPort: 0
08:13:05.28264 (13.5337782)          		Diagnostics.PrintEvents: false
08:13:05.28264 (13.5337782)          		Diagnostics.PrintInstances: false
08:13:05.28264 (13.5337782)          		Diagnostics.PrintPhysicsErrors: false
08:13:05.28264 (13.5337782)          		Diagnostics.PrintProperties: false
08:13:05.28264 (13.5337782)          		Diagnostics.PrintTouches: false
08:13:05.28264 (13.5337782)          		Network.ReceiveRate: 60
08:13:05.28264 (13.5337782)          		Network.ReportStatURL: 
08:13:05.28264 (13.5337782)          		Data.RobloxLocked: false
08:13:05.28264 (13.5337782)          		Network.TouchSendRate: 10
08:13:05.28264 (13.5337782)          		Network.UseInstancePacketCache: false
08:13:05.28264 (13.5337782)          		Network.UsePhysicsPacketCache: false
08:13:05.28264 (13.5347783)          		Network.WaitingForCharacterLogRate: 0
08:13:05.28264 (13.5347783)          		Behavior.archivable: true
08:13:05.28264 (13.5347783)          		Data.className: NetworkSettings
08:13:05.28264 (13.5347783)          End GlobalSettings -----------------------------------
08:13:05.28264 (13.5347783)          GameSettings ---------------------------------------
08:13:05.28264 (13.5347783)          	GameSettings
08:13:05.28264 (13.5347783)          		Data.AllTutorialsDisabled: false
08:13:05.28264 (13.5347783)          		Behavior.Archivable: true
08:13:05.28264 (13.5347783)          		Data.ClassName: UserGameSettings
08:13:05.28264 (13.5347783)          		Data.CompletedTutorials: 
08:13:05.28264 (13.5347783)          		Control.ControlMode: Classic
08:13:05.28264 (13.5347783)          		Data.DataCost: 4
08:13:05.28264 (13.5347783)          		Data.Name: GameSettings
08:13:05.28264 (13.5347783)          		Data.RobloxLocked: false
08:13:05.28264 (13.5347783)          		Appearance.SavedQualityLevel: Automatic
08:13:05.28264 (13.5347783)          		Video.VideoUploadPromptBehavior: Ask
08:13:05.28264 (13.5347783)          		Behavior.archivable: true
08:13:05.28264 (13.5357784)          		Data.className: UserGameSettings
08:13:05.28264 (13.5357784)          End GameSettings -----------------------------------
08:13:06.29264 (14.6147686)          Probing D3D for suitable Device...
08:13:07.30264 (14.6937676)          Attempting to find closest D3DDevice to: DeviceType: D3DDEVTYPE_HAL Resolution: 1366x768 AdapterFormat: D3DFMT_UNKNOWN BackBufferFormat: D3DFMT_UNKNOWN BehaviorFlags: 0 Windowed: 1 PresentParameters: 0x
00000556 00000300 00000000 00000000 00000000 00000000 00000000 00000000
00000001 00000000 00000000 00000000 00000000 00000000 
08:13:07.30264 (14.7418220)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7588284)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7618295)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 0 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7628299)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_X8R8G8B8 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
08:13:07.30264 (14.7628299)          DeviceType: D3DDEVTYPE_HAL AdapterFormat: D3DFMT_X8R8G8B8 BackBufferFormat: D3DFMT_A2R10G10B10 Windowed: 1 Caps: 0x
00000001  00000000  00020000  e0020000  000003a0  8000000f  00000001  001bbef0 
003fccf2  0f736191  000000ff  00003fff  00003fff  000000ff  00084208  0001ec45 
07030700  03030300  07030700  0000003f  0000003f  0000001f  00004000  00004000 
00004000  00002000  00002000  00000010  501502f9  c7000000  c7000000  47000000 
47000000  00000000  000001ff  00100008  03ffffff  00000008  00000008  0000017b 
00000008  00000006  00000004  00000000  43800000  00555555  00ffffff  00000010 
000001fc  fffe0300  00000100  ffff0300  7f7fffff  00000071  3f800000  00000000 
00000000  00000000  00000002  000003ff  00000004  03000300  00000001  00000018 
00000020  00000004  0000001f  00000018  00000020  00000004  00000200  03000300 
ffffffff  ffffffff  00008000  00008000  
