27.05.2015 16:40:33.2024 (557.5723296)Log "Roblox TaskScheduler Thread 1"
16:40:33.2024 (557.5733271) Error:   Workspace.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:37.1864 (12680.5473749)          Bang recieved from Torso
20:02:37.1864 (12680.5861549)          Bang recieved from Head
20:02:37.1864 (12680.6032248)          Bang recieved from Right Arm
20:02:37.1864 (12680.6202948)          Bang recieved from Head
20:02:37.1864 (12680.7604113)          Bang recieved from Head
20:02:37.1864 (12680.8449081)          Bang recieved from Head
20:02:37.1864 (12680.8962386)          Bang recieved from Head
20:02:37.1864 (12681.0632425)          Bang recieved from Torso
20:02:37.1864 (12681.0632425)          Bang recieved from Head
20:02:38.2864 (12681.5262515)          Bang recieved from Head
20:02:38.2864 (12681.5312511) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12681.5312511)          Stack Begin
20:02:38.2864 (12681.5312511)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:38.2864 (12681.5312511)          Stack End
20:02:38.2864 (12681.7463255)          Bang recieved from Head
20:02:38.2864 (12681.7473259) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12681.7473259)          Stack Begin
20:02:38.2864 (12681.7473259)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:38.2864 (12681.7473259)          Stack End
20:02:38.2864 (12681.9172970)          Bang recieved from Head
20:02:38.2864 (12681.9232976) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12681.9292982)          Stack Begin
20:02:38.2864 (12681.9362990)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:38.2864 (12681.9422996)          Stack End
20:02:38.2864 (12682.0642770)          Bang recieved from Head
20:02:38.2864 (12682.0652770) Error:   Workspace.Radioactive Zombie.Left Arm.My First Kill Script:8: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12682.0652770)          Stack Begin
20:02:38.2864 (12682.0652770)          Script 'Workspace.Radioactive Zombie.Left Arm.My First Kill Script', Line 8
20:02:38.2864 (12682.0662769)          Stack End
20:02:38.2864 (12682.0982848) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12682.1002848)          Stack Begin
20:02:38.2864 (12682.1002848)          Script 'Workspace.Model.Training Dummy.Respawn', Line 7
20:02:38.2864 (12682.1002848)          Stack End
20:02:38.2864 (12682.2022898) Error:   Workspace.Model.Training Dummy.Respawn:7: attempt to index field 'Parent' (a nil value)
20:02:38.2864 (12682.2022898)          Stack Begin
