27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
17:49:21.1256 (4685.0534305)          			WrapMouseJob
17:49:21.1256 (4685.0534305)          			ConfigureStats
17:49:21.1256 (4685.0534305)          		RobloxView::RobloxView - end
17:52:30.59184 (4874.3631498)          Auto-Saving...
17:57:30.31504 (5174.4144735)          Auto-Saving...
18:02:30.3824 (5474.4794140)          Auto-Saving...
18:05:22.44752 (5646.0230828)          > Instance.new("Texture",game.Workspace.Stud)
18:07:30.41680 (5774.5355828)          Auto-Saving...
18:12:30.14000 (6074.5646049)          Auto-Saving...
18:17:31.52856 (6374.6483438)          Auto-Saving...
18:22:31.25176 (6674.6706041)          Auto-Saving...
18:22:53.47176 (6697.0098878)          Auto-Saving...
18:22:54.48176 (6697.8779811)          		RobloxView::RobloxView - start
18:22:54.48176 (6697.8779811)          			UserInput
18:22:54.48176 (6698.1502356)          			Marshaller
18:22:54.48176 (6698.1502356)          			ProfilingSection
18:22:54.48176 (6698.1502356)          			BindToWorkspace
18:22:54.48176 (6698.3300104)          			RenderRequestJob
18:22:54.48176 (6698.3300104)          			RenderJob
18:22:54.48176 (6698.3300104)          			WrapMouseJob
18:22:54.48176 (6698.3300104)          			ConfigureStats
18:22:54.48176 (6698.3300104)          		RobloxView::RobloxView - end
18:22:58.52176 (6702.1597734)          		RobloxView::RobloxView - start
18:22:58.52176 (6702.1597734)          			UserInput
18:22:58.52176 (6702.2892139)          			Marshaller
18:22:58.52176 (6702.2892139)          			ProfilingSection
18:22:58.52176 (6702.2892139)          			BindToWorkspace
18:22:58.52176 (6702.4388382)          			RenderRequestJob
18:22:58.52176 (6702.4398387)          			RenderJob
18:22:58.52176 (6702.4398387)          			WrapMouseJob
18:22:58.52176 (6702.4398387)          			ConfigureStats
18:22:58.52176 (6702.4398387)          		RobloxView::RobloxView - end
18:23:00.54176 (6704.4029902)          Auto-Saving...
18:23:01.55176 (6705.1624511)          		RobloxView::RobloxView - start
18:23:01.55176 (6705.1634511)          			UserInput
18:23:01.55176 (6705.2924656)          			Marshaller
18:23:01.55176 (6705.2924656)          			ProfilingSection
18:23:01.55176 (6705.2924656)          			BindToWorkspace
18:23:01.55176 (6705.4772267)          			RenderRequestJob
18:23:01.55176 (6705.4772267)          			RenderJob
18:23:01.55176 (6705.4772267)          			WrapMouseJob
18:23:01.55176 (6705.4772267)          			ConfigureStats
18:23:01.55176 (6705.4782307)          		RobloxView::RobloxView - end
18:25:33.10568 (6857.0228767)          		RobloxView::RobloxView - start
18:25:33.10568 (6857.0228767)          			UserInput
18:25:33.10568 (6857.2869100)          			Marshaller
18:25:33.10568 (6857.2869100)          			ProfilingSection
18:25:33.10568 (6857.2869100)          			BindToWorkspace
18:25:33.10568 (6857.4419210)          			RenderRequestJob
18:25:33.10568 (6857.4429211)          			RenderJob
18:25:33.10568 (6857.4429211)          			WrapMouseJob
18:25:33.10568 (6857.4429211)          			ConfigureStats
18:25:33.10568 (6857.4429211)          		RobloxView::RobloxView - end
18:26:34.6032 (6918.2514666)          Auto-Saving...
18:26:36.8032 (6920.2081089)          		RobloxView::RobloxView - start
18:26:36.8032 (6920.2081089)          			UserInput
18:26:36.8032 (6920.4752279)          			Marshaller
18:26:36.8032 (6920.4752279)          			ProfilingSection
18:26:36.8032 (6920.4752279)          			BindToWorkspace
18:26:37.9032 (6921.0501586)          			RenderRequestJob
18:26:37.9032 (6921.0501586)          			RenderJob
18:26:37.9032 (6921.0501586)          			WrapMouseJob
