27.05.2015 08:03:37.50088 (3.3322117)Log "RobloxStudio"
09:21:49.23496 (4695.4981012)          Script 'Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.P', Line 1
09:21:49.23496 (4695.5007762)          Stack End
09:22:47.15960 (4752.7192122)          Auto-Saving...
09:23:06.34960 (4772.4867221)          > Game.Workspace.Blade.SelectionBox.Adornee = Game.Workspace.Blade
09:23:39.2424 (4804.8434473)          > Game.Workspace.Blade.SelectionBox.Adornee = Game.Workspace.Blade
09:23:53.16424 (4818.9136835)          > Game.Workspace.Blade.SelectionBox.Adornee = Game.Workspace.Blade
09:24:24.47424 (4849.5820212)          > Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.Part
09:24:24.47424 (4849.5860302) Error:   SelectionBox is not a valid member of Part
09:24:24.47424 (4849.5880347)          Script 'Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.P', Line 1
09:24:24.47424 (4849.5910415)          Stack End
09:24:26.49424 (4851.8093905)          > Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.Part
09:24:26.49424 (4851.8133721) Error:   SelectionBox is not a valid member of Part
09:24:26.49424 (4851.8163582)          Script 'Game.Workspace.Part.SelectionBox.Adornee = Game.Workspace.P', Line 1
09:24:26.49424 (4851.8183490)          Stack End
09:24:30.53424 (4856.0250276)          > Game.Workspace.Blade.SelectionBox.Adornee = Game.Workspace.Blade
09:27:47.53816 (5052.7767660)          Auto-Saving...
09:32:47.26136 (5352.8308339)          Auto-Saving...
09:37:47.63992 (5652.9861351)          Auto-Saving...
09:42:47.36312 (5952.9546606)          Auto-Saving...
09:44:45.23240 (6071.0616699)          Auto-Saving...
09:44:46.24240 (6071.9436871)          		RobloxView::RobloxView - start
09:44:46.24240 (6071.9436871)          			UserInput
09:44:46.24240 (6072.1616732)          			Marshaller
09:44:46.24240 (6072.1616732)          			ProfilingSection
09:44:46.24240 (6072.1616732)          			BindToWorkspace
09:44:46.24240 (6072.3057035)          			RenderRequestJob
09:44:46.24240 (6072.3057035)          			RenderJob
09:44:46.24240 (6072.3057035)          			WrapMouseJob
09:44:46.24240 (6072.3057035)          			ConfigureStats
09:44:46.24240 (6072.3067037)          		RobloxView::RobloxView - end
09:44:58.36240 (6083.8021226)          		RobloxView::RobloxView - start
09:44:58.36240 (6083.8021226)          			UserInput
09:44:58.36240 (6083.8832640)          			Marshaller
09:44:58.36240 (6083.8832640)          			ProfilingSection
09:44:58.36240 (6083.8842629)          			BindToWorkspace
09:44:58.36240 (6084.0173276)          			RenderRequestJob
09:44:58.36240 (6084.0173276)          			RenderJob
09:44:58.36240 (6084.0173276)          			WrapMouseJob
09:44:58.36240 (6084.0173276)          			ConfigureStats
09:44:58.36240 (6084.0173276)          		RobloxView::RobloxView - end
09:45:52.24704 (6137.8428344)          Auto-Saving...
09:45:53.25704 (6138.5938619)          		RobloxView::RobloxView - start
09:45:53.25704 (6138.5948622)          			UserInput
09:45:53.25704 (6138.6778528)          			Marshaller
09:45:53.25704 (6138.6778528)          			ProfilingSection
09:45:53.25704 (6138.6778528)          			BindToWorkspace
09:45:53.25704 (6138.8376935)          			RenderRequestJob
09:45:53.25704 (6138.8376935)          			RenderJob
09:45:53.25704 (6138.8376935)          			WrapMouseJob
09:45:53.25704 (6138.8376935)          			ConfigureStats
09:45:53.25704 (6138.8376935)          		RobloxView::RobloxView - end
09:46:00.32704 (6146.3933349)          		RobloxView::RobloxView - start
09:46:00.32704 (6146.3933349)          			UserInput
09:46:01.33704 (6146.5869861)          			Marshaller
09:46:01.33704 (6146.5869861)          			ProfilingSection
09:46:01.33704 (6146.5869861)          			BindToWorkspace
09:46:01.33704 (6146.7849038)          			RenderRequestJob
09:46:01.33704 (6146.7849038)          			RenderJob
