27.05.2015 10:30:04.55264 (0.8304834)Log "RobloxStudio"
11:00:34.50256 (1830.8810785)          			RenderJob
11:00:34.50256 (1830.8810785)          			WrapMouseJob
11:00:34.50256 (1830.8810785)          			ConfigureStats
11:00:34.50256 (1830.8810785)          		RobloxView::RobloxView - end
11:00:47.63256 (1843.6786759)          		RobloxView::RobloxView - start
11:00:47.63256 (1843.6786759)          			UserInput
11:00:47.63256 (1843.9215546)          			Marshaller
11:00:47.63256 (1843.9215546)          			ProfilingSection
11:00:47.63256 (1843.9215546)          			BindToWorkspace
11:00:47.63256 (1844.1095938)          			RenderRequestJob
11:00:47.63256 (1844.1105940)          			RenderJob
11:00:47.63256 (1844.1105940)          			WrapMouseJob
11:00:47.63256 (1844.1105940)          			ConfigureStats
11:00:47.63256 (1844.1105940)          		RobloxView::RobloxView - end
11:01:01.11720 (1857.8579139)          Auto-Saving...
11:01:01.11720 (1858.6199855)          		RobloxView::RobloxView - start
11:01:01.11720 (1858.6199855)          			UserInput
11:01:02.12720 (1858.8200041)          			Marshaller
11:01:02.12720 (1858.8200041)          			ProfilingSection
11:01:02.12720 (1858.8200041)          			BindToWorkspace
11:01:02.12720 (1859.0143671)          			RenderRequestJob
11:01:02.12720 (1859.0153741)          			RenderJob
11:01:02.12720 (1859.0153741)          			WrapMouseJob
11:01:02.12720 (1859.0153741)          			ConfigureStats
11:01:02.12720 (1859.0153741)          		RobloxView::RobloxView - end
11:02:10.15184 (1926.9147462)          		RobloxView::RobloxView - start
11:02:10.15184 (1926.9147462)          			UserInput
11:02:11.16184 (1927.7371472)          			Marshaller
11:02:11.16184 (1927.7371472)          			ProfilingSection
11:02:11.16184 (1927.7381473)          			BindToWorkspace
11:02:11.16184 (1927.9651505)          			RenderRequestJob
11:02:11.16184 (1927.9651505)          			RenderJob
11:02:11.16184 (1927.9651505)          			WrapMouseJob
11:02:11.16184 (1927.9651505)          			ConfigureStats
11:02:11.16184 (1927.9651505)          		RobloxView::RobloxView - end
11:04:15.9112 (2051.7070092)          Auto-Saving...
11:06:41.24040 (2198.0885408)          Auto-Saving...
11:06:42.25040 (2199.3455694)          		RobloxView::RobloxView - start
11:06:42.25040 (2199.3455694)          			UserInput
11:06:42.25040 (2199.5855257)          			Marshaller
11:06:42.25040 (2199.5855257)          			ProfilingSection
11:06:42.25040 (2199.5855257)          			BindToWorkspace
11:06:43.26040 (2199.8005954)          			RenderRequestJob
11:06:43.26040 (2199.8005954)          			RenderJob
11:06:43.26040 (2199.8005954)          			WrapMouseJob
11:06:43.26040 (2199.8005954)          			ConfigureStats
11:06:43.26040 (2199.8045955)          		RobloxView::RobloxView - end
11:06:48.31040 (2204.7319761) Error:   Players.Player.Backpack.LinkedSword.SwordScript:35: attempt to index local 'hit' (a nil value)
11:06:48.31040 (2204.7349761)          Stack Begin
11:06:48.31040 (2204.7379761)          Script 'Players.Player.Backpack.LinkedSword.SwordScript', Line 35 - global blow
11:06:48.31040 (2204.7409761)          Script 'Players.Player.Backpack.LinkedSword.SwordScript', Line 60
11:06:48.31040 (2204.7439761)          Stack End
11:07:06.49040 (2222.8629416)          		RobloxView::RobloxView - start
11:07:06.49040 (2222.8639417)          			UserInput
11:07:06.49040 (2222.9999408)          			Marshaller
11:07:06.49040 (2222.9999408)          			ProfilingSection
